COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Afghanistan,AFG,EMRO,REPORTING,2/14/2023,12788310,11782909,32.851,30.268,11062636,28.418,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/22/2021,11,,
Albania,ALB,EURO,REPORTING,2/5/2023,3058102,1345763,106.3,47.287,1274719,44.791,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/13/2021,5,390033,13.705
Algeria,DZA,AFRO,REPORTING,9/4/2022,15267442,7840131,34.817,17.879,6481186,14.78,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",1/30/2021,4,575651,1.313
American Samoa,ASM,WPRO,REPORTING,9/26/2022,111316,44671,201.67,80.93,42547,77.082,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/21/2020,3,24160,43.77
Andorra,AND,EURO,REPORTING,1/29/2023,156766,57903,202.9,76.011,53492,70.221,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/20/2021,3,43049,56.512
Angola,AGO,AFRO,REPORTING,1/1/2023,23893345,15079129,72.699,45.88,8306664,25.274,SII - Covishield,3/10/2021,1,1526098,4.643
Anguilla,AIA,AMRO,REPORTING,2/10/2023,24489,10854,163.238,72.35,10380,69.191,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2/5/2021,2,3003,20.017
Antigua and Barbuda,ATG,AMRO,REPORTING,2/10/2023,136512,64290,139.399,65.65,62384,63.703,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/2021,6,9838,10.046
Argentina,ARG,AMRO,REPORTING,10/7/2022,109652736,41324100,242.617,91.434,37840119,83.725,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",12/29/2020,7,30810184,68.17
Armenia,ARM,EURO,REPORTING,5/22/2022,2150112,1129669,72.6,38.123,985807,33.268,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",6/16/2021,8,40725,1.374
Aruba,ABW,AMRO,REPORTING,2/10/2023,216561,90248,202.837,84.529,84085,78.756,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2/17/2021,2,35659,33.399
Australia,AUS,WPRO,REPORTING,1/4/2023,64549484,22235240,253.136,87.197,21655300,84.923,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/21/2021,5,14328433,56.19
Austria,AUT,EURO,REPORTING,2/5/2023,20369447,6898336,228.8,77.609,6680457,75.052,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5,Unknown Vaccine,Valneva - VLA2001",12/30/2020,10,5402254,60.692
Azerbaijan,AZE,EURO,REPORTING,2/5/2023,13804660,5426071,136.2,53.516,4881095,48.141,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/20/2021,5,3497496,34.495
Bahamas,BHS,AMRO,REPORTING,2/10/2023,364701,174147,92.742,44.285,165633,42.12,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/14/2021,4,33585,8.54
Bahrain,BHR,EMRO,REPORTING,12/21/2022,3476633,1241174,204.319,72.943,1226796,72.098,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",11/4/2020,11,1008663,59.278
Bangladesh,BGD,SEARO,REPORTING,2/14/2023,354990838,151141568,215.552,91.774,136721925,83.018,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/27/2021,8,67127345,40.76
Barbados,BRB,AMRO,REPORTING,2/10/2023,381633,163833,132.8,57.01,155010,53.94,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",1/8/2021,5,62790,21.849
Belarus,BLR,EURO,REPORTING,1/29/2023,19047714,6528944,201.6,69.094,6410767,67.844,"Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light",2/3/2021,4,5609117,59.36
Belgium,BEL,EURO,REPORTING,2/5/2023,29107703,9253869,252.6,80.312,9157607,79.476,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4,7242756,62.858
Belize,BLZ,AMRO,REPORTING,2/10/2023,502178,251903,126.293,63.351,221347,55.667,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/2021,5,51248,12.888
Benin,BEN,AFRO,REPORTING,12/18/2022,4232541,3697190,34.913,30.497,2742837,22.625,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/29/2021,5,,
Bermuda,BMU,AMRO,REPORTING,2/10/2023,132042,48554,212.037,77.97,47657,76.529,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/11/2021,3,31829,51.112
Bhutan,BTN,SEARO,REPORTING,10/30/2022,2011426,699116,260.68,90.605,677669,87.826,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/27/2021,5,634641,82.249
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2/10/2023,15744383,7462681,134.878,63.931,6265361,53.674,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",1/30/2021,7,2412943,20.671
Bonaire,XAA,AMRO,REPORTING,2/10/2023,43000,17460,205.594,83.481,16181,77.366,,,,8114,38.795
"Bonaire, Sint Eustatius and Saba",BES,AMRO,OWID,9/1/2021,35845,19109,137.934,73.533,16736,64.401,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2,,
Bosnia and Herzegovina,BIH,EURO,REPORTING,1/29/2022,1924950,943394,58.7,28.755,846080,25.789,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4,,
Botswana,BWA,AFRO,REPORTING,2/5/2023,3171667,1702713,134.871,72.406,1439323,61.205,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/26/2021,6,503276,21.401
Brazil,BRA,AMRO,REPORTING,2/10/2023,502262440,186615476,236.293,87.794,169594017,79.787,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/17/2021,5,109018786,51.289
British Virgin Islands,VGB,AMRO,REPORTING,2/10/2023,41453,19466,137.094,64.378,18261,60.393,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S",2/11/2021,2,3726,12.323
Brunei Darussalam,BRN,WPRO,REPORTING,1/27/2023,1288317,450849,294.487,103.056,446431,102.046,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4/3/2021,5,339864,77.687
Bulgaria,BGR,EURO,REPORTING,2/5/2023,4612386,2106404,66.4,30.302,2078061,29.894,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4,830268,11.944
Burkina Faso,BFA,AFRO,REPORTING,11/27/2022,5117982,4366726,24.484,20.89,3335753,15.958,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",6/2/2021,3,,
Burundi,BDI,AFRO,REPORTING,2/5/2023,33929,32416,0.285,0.273,31825,0.268,Beijing CNBG - BBIBP-CorV,10/18/2021,1,291,0.002
Cabo Verde,CPV,AFRO,REPORTING,9/25/2022,859940,356734,154.669,64.162,308720,55.526,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/18/2021,4,749,0.135
Cambodia,KHM,WPRO,REPORTING,2/10/2023,46003730,15266991,275.159,91.315,14634370,87.532,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/10/2021,7,10544066,63.066
Cameroon,CMR,AFRO,REPORTING,2/5/2023,4259154,3666816,16.045,13.813,3323604,12.52,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",4/12/2021,4,485444,1.829
Canada,CAN,AMRO,REPORTING,2/10/2023,93390727,32640355,247.444,86.482,31286621,82.896,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",12/14/2020,5,19719223,52.247
Cayman Islands,CYM,AMRO,REPORTING,2/10/2023,150816,61859,229.483,94.125,60589,92.193,Pfizer BioNTech - Comirnaty,1/15/2021,1,24064,36.616
Central African Republic,CAF,AFRO,REPORTING,1/22/2023,2535002,2292088,52.487,47.458,2176684,45.068,"Bharat - Covaxin,SII - Covishield",3/19/2021,2,214090,4.433
Chad,TCD,AFRO,REPORTING,2/5/2023,6367671,6228631,38.766,37.92,3625087,22.069,Beijing CNBG - BBIBP-CorV,6/4/2021,1,1939610,11.808
Chile,CHL,AMRO,REPORTING,2/10/2023,64599073,18088517,337.928,94.624,17700117,92.592,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",12/21/2020,5,15723241,82.251
China,CHN,WPRO,REPORTING,11/29/2022,3465113661,1307511577,235.516,88.869,1277356924,86.819,"Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",7/22/2020,8,804850776,54.704
Colombia,COL,AMRO,REPORTING,2/10/2023,90210929,42959468,177.291,84.428,36948604,72.615,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/17/2021,5,14675916,28.843
Comoros,COM,AFRO,REPORTING,10/2/2022,835021,438825,96.023,50.463,397080,45.662,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",4/10/2021,3,,
Congo,COG,AFRO,REPORTING,7/31/2022,833210,695760,15.1,12.609,654119,11.854,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield",3/23/2021,4,,
Cook Islands,COK,WPRO,REPORTING,5/10/2022,39612,15020,225.529,85.516,14676,83.557,Pfizer BioNTech - Comirnaty,5/17/2021,1,9916,56.456
Costa Rica,CRI,AMRO,REPORTING,2/10/2023,12778229,4605172,250.843,90.402,4314443,84.695,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/24/2020,3,2832234,55.598
Côte d’Ivoire,CIV,AFRO,REPORTING,1/22/2023,24416782,13441295,92.564,50.956,12043609,45.657,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/2021,5,2577309,9.771
Croatia,HRV,EURO,REPORTING,10/23/2022,5357755,2317461,132,57.141,2244181,55.3,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,6,954875,23.53
Cuba,CUB,AMRO,REPORTING,2/10/2023,38012728,10725585,335.605,94.694,10007272,88.352,"CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02",,3,8695158,76.767
Curaçao,CUW,AMRO,REPORTING,2/10/2023,260324,108601,158.644,66.183,100885,61.48,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2/24/2021,3,43138,26.289
Cyprus,CYP,EURO,REPORTING,2/5/2023,1856599,668666,209.1,75.3,655954,73.868,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,487065,54.849
Czechia,CZE,EURO,REPORTING,2/5/2023,18602204,6971022,174,65.187,6886523,64.397,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5",12/23/2020,7,4363043,40.799
Democratic Republic of the Congo,COD,AFRO,REPORTING,12/11/2022,9988117,9145982,11.152,10.212,6848697,7.647,SII - Covishield,4/19/2021,1,,
Denmark,DNK,EURO,REPORTING,2/5/2023,15114372,4796911,259.6,82.382,4783897,82.159,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/16/2020,5,3667863,62.992
Djibouti,DJI,EMRO,REPORTING,2/12/2023,384617,363991,38.929,36.841,343626,34.78,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/15/2021,11,,
Dominica,DMA,AMRO,REPORTING,2/10/2023,67647,32995,93.966,45.832,30659,42.587,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/12/2021,5,3993,5.547
Dominican Republic,DOM,AMRO,REPORTING,2/10/2023,15917363,7307585,146.732,67.364,6080061,56.048,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",2/16/2021,3,2529717,23.32
Ecuador,ECU,AMRO,REPORTING,2/10/2023,39465766,15327060,223.69,86.873,14230208,80.656,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/20/2021,4,7698457,43.634
Egypt,EGY,EMRO,REPORTING,1/31/2023,102088497,54046147,99.76,52.813,40332573,39.413,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/24/2021,10,10576946,10.336
El Salvador,SLV,AMRO,REPORTING,2/10/2023,11379601,4648614,175.443,71.669,4386824,67.633,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/17/2021,6,1883121,29.033
Equatorial Guinea,GNQ,AFRO,REPORTING,7/24/2022,488738,270109,34.836,19.252,214032,15.255,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",2/12/2021,2,4597,0.328
Eritrea,ERI,AFRO,REPORTING,7/3/2022,,0,,0,0,0,,,,,
Estonia,EST,EURO,REPORTING,2/5/2023,2194815,844825,165.2,63.57,835737,62.886,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5",12/23/2020,8,486584,36.613
Eswatini,SWZ,AFRO,REPORTING,2/5/2023,828421,507582,71.406,43.751,413251,35.62,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/19/2021,3,158034,13.622
Ethiopia,ETH,AFRO,REPORTING,1/22/2023,53514115,43791263,46.549,38.091,37337167,32.477,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,SII - Covishield",3/13/2021,4,2679887,2.331
Falkland Islands (Malvinas),FLK,AMRO,REPORTING,6/21/2022,9390,3220,269.595,92.449,2976,85.444,AstraZeneca - AZD1222,,1,2543,73.012
Faroe Islands,FRO,EURO,OWID,2/18/2022,103894,41715,212.614,85.368,40895,83.69,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",,2,21284,43.557
Fiji,FJI,WPRO,REPORTING,1/19/2023,1552115,711686,173.141,79.39,640712,71.473,"AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield",3/7/2021,3,170632,19.034
Finland,FIN,EURO,REPORTING,2/5/2023,13233644,4546427,239.5,82.284,4363729,78.977,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,5,3084268,55.821
France,FRA,EURO,REPORTING,2/5/2023,157737439,54650869,234.3,81.18,53154487,78.958,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/30/2020,6,40984221,60.88
French Guiana,GUF,AMRO,REPORTING,2/10/2023,240930,99898,80.664,33.446,90181,30.193,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/13/2021,2,46100,15.434
French Polynesia,PYF,WPRO,REPORTING,12/31/2022,450069,191936,160.219,68.327,163896,58.345,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",1/18/2021,2,81177,28.898
Gabon,GAB,AFRO,REPORTING,11/27/2022,572672,311040,25.73,13.975,257378,11.564,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",3/23/2021,3,2589,0.116
Gambia,GMB,AFRO,REPORTING,1/22/2023,1444492,934799,59.772,38.681,454639,18.813,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/10/2021,2,31322,1.296
Georgia,GEO,EURO,REPORTING,1/15/2023,2731970,1297872,68.5,32.535,1184079,29.682,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/17/2021,4,250019,6.267
