COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Norway,NOR,EURO,REPORTING,2/5/2023,12309228,4346314,229.3,80.973,4061198,75.662,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,4,3016667,56.202
occupied Palestinian territory,PSE,EMRO,REPORTING,10/18/2022,3748571,2012767,73.481,39.455,1776973,34.833,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/2/2021,10,336967,6.605
Oman,OMN,EMRO,REPORTING,10/25/2022,7086050,3257365,138.762,63.787,3048826,59.703,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",12/29/2020,11,779859,15.272
Pakistan,PAK,EMRO,REPORTING,1/31/2023,333510412,162218112,150.983,73.438,139227429,63.03,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/3/2021,11,49962657,22.619
Palau,PLW,WPRO,REPORTING,11/21/2022,53177,20100,293.925,111.099,18285,101.067,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/3/2021,3,12866,71.114
Panama,PAN,AMRO,REPORTING,2/10/2023,8756680,3526529,202.947,81.732,3168992,73.445,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",1/20/2021,2,1765117,40.909
Papua New Guinea,PNG,WPRO,REPORTING,2/5/2023,512387,372646,5.727,4.165,312188,3.489,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",3/30/2021,4,32902,0.368
Paraguay,PRY,AMRO,REPORTING,2/10/2023,9568675,3985466,134.155,55.877,3541521,49.653,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/22/2021,8,1661358,23.293
Peru,PER,AMRO,REPORTING,2/10/2023,87438452,30248547,265.191,91.741,28482025,86.383,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2/9/2021,4,21883549,66.37
Philippines,PHL,WPRO,REPORTING,2/9/2023,170366733,78444264,155.471,71.586,74009826,67.539,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/1/2021,11,21589980,19.702
Pitcairn Islands,PCN,WPRO,REPORTING,2/28/2022,138,55,276,110,37,74,AstraZeneca - Vaxzevria,5/17/2021,1,23,46
Poland,POL,EURO,REPORTING,2/5/2023,58053683,22948930,152.9,60.459,22673397,59.733,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5,12495941,32.92
Portugal,PRT,EURO,REPORTING,2/5/2023,27685253,9779268,268.9,95.134,8893419,86.378,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.4/BA.5,Sinovac - CoronaVac",12/23/2020,11,7042682,68.403
Puerto Rico,PRI,AMRO,REPORTING,2/10/2023,7791994,2901878,272.366,101.434,2683965,93.817,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",,4,1799536,62.902
Qatar,QAT,EMRO,REPORTING,2/14/2023,7606485,2851529,264.018,98.975,2851528,98.975,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",,10,1903428,66.067
Republic of Korea,KOR,WPRO,REPORTING,1/10/2023,136127066,44867343,265.514,87.513,44448097,86.696,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/26/2021,5,33646923,65.628
Republic of Moldova,MDA,EURO,REPORTING,2/5/2023,2278699,1106705,56.5,27.435,1075874,26.67,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/3/2021,7,397541,9.855
Romania,ROU,EURO,REPORTING,2/5/2023,16104824,8186546,83.3,42.354,8140616,42.116,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/27/2021,4,1767276,9.143
Russian Federation,RUS,EURO,OWID,2/6/2023,184547820,87965577,126.5,60.277,79118841,54.215,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",,2,,
Rwanda,RWA,AFRO,REPORTING,1/1/2023,26106436,10572981,201.56,81.631,9897876,76.418,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/5/2021,7,5879013,45.39
Saba,XCA,AMRO,REPORTING,2/10/2023,4961,1687,256.648,87.274,1667,86.239,,,,1169,60.476
"Saint Helena, Ascension and Tristan da Cunha",SHN,AFRO,OWID,5/5/2021,7892,4361,129.995,71.833,3531,58.162,AstraZeneca - AZD1222,,1,,
Saint Kitts and Nevis,KNA,AMRO,REPORTING,2/10/2023,64297,33794,120.877,63.532,27000,50.76,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield",2/22/2021,3,3465,6.514
Saint Lucia,LCA,AMRO,REPORTING,2/10/2023,122977,60140,66.971,32.751,54971,29.936,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/17/2021,5,7866,4.284
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,2/10/2023,73374,37502,66.138,33.804,31610,28.493,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,SII - Covishield",2/1/2021,5,4262,3.842
Samoa,WSM,WPRO,REPORTING,12/9/2022,449369,191162,226.48,96.345,177714,89.567,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",4/18/2021,2,79313,39.973
San Marino,SMR,EURO,REPORTING,5/22/2022,69338,26357,204.3,76.501,23633,68.595,"Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",2/24/2021,2,19348,56.158
Sao Tome and Principe,STP,AFRO,REPORTING,12/25/2022,228291,127564,104.167,58.206,103963,47.437,"AstraZeneca - Vaxzevria,SII - Covishield",3/15/2021,2,33180,15.14
Saudi Arabia,SAU,EMRO,REPORTING,12/4/2022,68148406,26951666,195.751,77.416,25351683,72.821,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/6/2021,10,15845057,45.514
Senegal,SEN,AFRO,REPORTING,2/5/2023,2924037,2169105,17.463,12.955,1431298,8.548,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2/23/2021,3,726400,4.338
Serbia,SRB,EURO,REPORTING,11/20/2022,6719835,3396720,97,49.038,3323115,47.975,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/23/2020,5,0,0
Seychelles,SYC,AFRO,REPORTING,1/29/2023,220018,85825,223.716,87.268,81732,83.106,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,SII - Covishield",1/10/2021,4,44936,45.691
Sierra Leone,SLE,AFRO,REPORTING,2/5/2023,6553078,4569641,82.15,57.285,3702873,46.419,"Beijing CNBG - BBIBP-CorV,SII - Covishield",3/15/2021,2,435021,5.453
Singapore,SGP,WPRO,REPORTING,1/3/2023,14875986,5160943,254.275,88.216,5119159,87.502,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4,4595884,78.558
Sint Eustatius,XBA,AMRO,REPORTING,2/10/2023,4318,1791,137.56,57.056,1686,53.711,,,,767,24.435
Sint Maarten,SXM,AMRO,REPORTING,2/10/2023,67068,29788,156.401,69.465,26749,62.378,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2/22/2021,3,9131,21.293
Slovakia,SVK,EURO,REPORTING,2/5/2023,7219030,2839160,132.3,52.02,2790858,51.135,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,7,1685878,30.889
Slovenia,SVN,EURO,REPORTING,2/5/2023,3021521,1227875,144.2,58.586,1197479,57.135,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,6,653791,31.194
Solomon Islands,SLB,WPRO,REPORTING,1/30/2023,766518,328182,111.594,47.778,237917,34.637,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield",3/23/2021,4,23623,3.439
Somalia,SOM,EMRO,REPORTING,1/2/2023,8726329,7729842,54.906,48.636,6529808,41.085,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/16/2021,11,,
South Africa,ZAF,AFRO,REPORTING,12/25/2022,38050611,23970891,64.157,40.417,21038797,35.473,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2/17/2021,2,3877516,6.538
South Sudan,SSD,AFRO,REPORTING,1/29/2023,2345851,2295561,20.957,20.508,2253582,20.133,"Janssen - Ad26.COV 2-S,SII - Covishield",4/6/2021,2,,
Spain,ESP,EURO,REPORTING,2/5/2023,112304453,41316806,237.3,87.29,37475580,79.175,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4,26496555,55.979
Sri Lanka,LKA,SEARO,REPORTING,10/30/2022,40116590,17143761,187.345,80.061,14752827,68.896,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",1/29/2021,6,8220002,38.387
Sudan,SDN,EMRO,REPORTING,2/5/2023,16815648,11762534,38.349,26.825,9678116,22.071,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/9/2021,11,2221312,5.066
Suriname,SUR,AMRO,REPORTING,2/10/2023,554588,267820,94.538,45.654,237879,40.55,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2/23/2021,5,48889,8.334
Sweden,SWE,EURO,REPORTING,2/5/2023,23340793,7511960,226,72.737,7374040,71.401,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,5,5574294,53.975
Switzerland,CHE,EURO,REPORTING,2/5/2023,16734587,6095608,193.4,70.829,5721588,66.483,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Moderna – Spikevax Bivalent Original/Omicron BA.1,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Pfizer BioNTech - Comirnaty Bivalent Original/Omicron BA.1",12/23/2020,6,4977516,57.838
Syrian Arab Republic,SYR,EMRO,REPORTING,1/16/2023,4971203,3209797,28.406,18.341,2257085,12.897,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",4/1/2021,11,75881,0.434
Tajikistan,TJK,EURO,REPORTING,12/4/2022,18871161,5311967,197.9,55.695,5170582,54.212,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/24/2021,6,5200841,54.53
Thailand,THA,SEARO,REPORTING,2/10/2023,138977890,57587991,199.109,82.504,54110020,77.522,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,SII - Covovax,Sinovac - CoronaVac",2/28/2021,8,27279879,39.083
The United Kingdom,GBR,EURO,REPORTING,9/11/2022,151248820,53813491,222.8,79.068,50762968,74.586,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/21/2020,3,,
Timor-Leste,TLS,SEARO,REPORTING,2/14/2023,2011703,883018,152.581,66.974,798020,60.527,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",4/7/2021,4,330665,25.08
Togo,TGO,AFRO,REPORTING,1/15/2023,3398445,2244456,41.05,27.111,1554066,18.772,SII - Covishield,3/10/2021,1,427804,5.168
Tokelau,TKL,WPRO,REPORTING,11/23/2022,6342,2203,469.778,163.185,2203,163.185,Pfizer BioNTech - Comirnaty,7/20/2021,1,968,71.704
Tonga,TON,WPRO,REPORTING,1/31/2023,203806,87278,192.825,82.575,77014,72.864,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",4/14/2021,2,38406,36.337
Trinidad and Tobago,TTO,AMRO,REPORTING,2/10/2023,1588567,754399,113.511,53.905,718474,51.338,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2/17/2021,5,174258,12.452
Tunisia,TUN,EMRO,REPORTING,2/14/2023,13243761,7217795,112.058,61.071,6398794,54.142,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",3/13/2021,10,1255432,10.622
Turkey,TUR,EURO,REPORTING,1/29/2023,139694693,50974980,165.63,61.919,50670345,60.935,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Turkovac",,3,27896331,33.547
Turkmenistan,TKM,EURO,REPORTING,2/5/2023,13040514,3359468,216.2,55.702,3358426,55.684,"Anhui ZL - Zifivax,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,RIBSP - QazVac,SRCVB - EpiVacCorona,Unknown Vaccine",2/24/2021,7,3171535,52.586
Turks and Caicos Islands,TCA,AMRO,REPORTING,2/10/2023,73907,32815,190.885,84.754,30710,79.317,Pfizer BioNTech - Comirnaty,1/11/2021,1,7443,19.224
Tuvalu,TUV,WPRO,REPORTING,8/31/2022,25591,9603,217.02,81.437,9322,79.054,AstraZeneca - Vaxzevria,4/13/2021,1,5528,46.879
Uganda,UGA,AFRO,REPORTING,1/29/2023,26299538,19488104,57.497,42.605,13023635,28.473,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/10/2021,5,542628,1.186
Ukraine,UKR,EURO,REPORTING,2/27/2022,31668577,15774300,72.4,36.069,15153577,34.65,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/24/2021,6,741197,1.695
United Arab Emirates,ARE,EMRO,REPORTING,7/6/2022,24922054,9991089,251.982,101.018,9792266,99.008,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",,11,5138699,51.956
United Republic of Tanzania,TZA,AFRO,REPORTING,12/11/2022,35994687,31191545,60.258,52.217,29270881,49.002,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",7/28/2021,3,,
United States of America,USA,AMRO,REPORTING,2/10/2023,662514513,266306865,200.154,80.455,227136359,68.621,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/14/2020,4,115413606,34.868
Uruguay,URY,AMRO,REPORTING,2/10/2023,8926009,3006034,256.957,86.536,2898307,83.435,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2/27/2021,3,2074060,59.707
Uzbekistan,UZB,EURO,REPORTING,2/5/2023,74976351,21674823,224,64.761,18101452,54.084,"Anhui ZL - Zifivax,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,Unknown Vaccine",4/28/2021,8,15319866,45.773
Vanuatu,VUT,WPRO,REPORTING,8/28/2022,292146,144290,95.117,46.978,131300,42.749,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S",6/2/2021,3,16556,5.39
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2/10/2023,37860994,22157232,133.145,77.92,14287370,50.244,"Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Sinovac - CoronaVac",2/22/2021,6,651502,2.291
Viet Nam,VNM,WPRO,REPORTING,2/9/2023,266211063,90457873,273.49,92.931,85928073,88.278,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3/8/2021,6,57743764,59.323
Wallis and Futuna,WLF,WPRO,REPORTING,7/26/2022,16782,6592,149.226,58.616,6989,62.147,Moderna - Spikevax,3/19/2021,1,3201,28.463
Yemen,YEM,EMRO,REPORTING,1/3/2023,1242982,1006274,4.167,3.374,761003,2.551,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",4/20/2021,11,59307,0.199
Zambia,ZMB,AFRO,REPORTING,1/22/2023,13614983,11076636,74.059,60.252,8693172,47.287,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",4/14/2021,3,1041841,5.667
Zimbabwe,ZWE,AFRO,REPORTING,11/13/2022,12694853,6558577,85.413,44.127,4927696,33.154,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Sinovac - CoronaVac",2/18/2021,4,1208580,8.132
